conceptUri,reuseLevel,preferredLabel,altLabels
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,cross-sector,organise labour,"evaluate quality of garments
evaluate wearing apparel quality
estimate clothing quality
inspect clothing quality
estimate garment quality
estimate wearing apparel quality
evaluate garment quality
inspect garment quality
evaluate quality of clothing
evaluate quality of wearing apparel
evaluate clothing quality"
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,cross-sector,evaluate garment quality,"giving of advice on construction materials
advise on construction materials
give advice on construction materials
advising on construction materials
advise about construction materials
provide advice on construction materials
giving advice on construction materials
advise regarding construction materials"
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,cross-sector,advise on construction materials,"principles of natural sciences applied to medicine
biomedical science
biomedical sciences"
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,cross-sector,biomedical science,"writing Hungarian
write Hungarian
correspond in written Hungarian
show competency in written Hungarian"
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,transversal,write Hungarian,"tend packaging machines
mind packaging machines
tend a packaging machines
look after packaging machines
watch packaging machines
take care of packaging machines
tend packaging machinery"
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,cross-sector,tend packaging machines,"plan supplies
monitor and control supplies
manage supply chain
supplies management
supply chain management
supplies planning
control and monitor supplies
manage supplies
supplies managing"
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,cross-sector,manage supplies,"geomatics
the study of Earth’s surface"
http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,cross-sector,geomatics,"regulations about contaminated materials
contamination exposure regulations
regulations concerning contamination exposure
regulations about contamination exposure
regulations regarding contamination exposure
regulations concerning contaminated materials
regulations regarding contaminated materials"
http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,cross-sector,contamination exposure regulations,"search archives for historical sources
explore historical sources in archives
find historical sources in archives
search historical sources in archives
query historical sources in archives
historical source search in archives"
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,cross-sector,search historical sources in archives,"facilitate use of radio devices
set up and maintain radio equipment
oversee the use of radio equipment
operate radio devices
set up and maintain radio devices
use radio equipment
use radio devices
utilise radio devices
operate radio equipment
oversee the use of radio devices
facilitate use of radio equipment
utilise radio equipment"
http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,cross-sector,operate radio equipment,"inspect quality of paint
check paint quality
inspect paint quality
review paint quality
inspect paint condition"
http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,cross-sector,inspect paint quality,"trace financial transaction
oversee  financial transactions
tracing financial transactions
track financial transactions
trace financial transactions"
http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,cross-sector,trace financial transactions,"control remote sensing equipment
run remote sensing equipment
employ remote sensing equipment
use remote sensing equipment
operate remote sensing equipment
remote sensing equipment operation
operation of remote sensing equipment"
http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,cross-sector,operate remote sensing equipment,"understanding written Korean
read Korean
interpret written Korean
understand Korean writing
comprehend written Korean
understand written Korean
make sense of written Korean"
http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,transversal,understand written Korean,"supervising the work on design planning
develop work on design planning
produce work on design planning
supervising work on design planning
supervise the work on design planning
model work on design planning
supervise work on design planning
arrange work on design planning"
http://data.europa.eu/esco/skill/03227978-f839-4cc8-88a6-0a3c44d2c776,cross-sector,supervise work on design planning,"measure trees
measure tree height
measuring trees
gauge tree measurement
measure the trees"
http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,cross-sector,measure trees,"ensure facilities are accessible to people with disabilities
consult on infrastructure accessibility
provide accessible facilities"
http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,cross-sector,ensure infrastructure accessibility,"driving automatic car
use automatic car
pilot automatic car
driving automatic cars
drive automatic cars
operate automatic car
drive automatic car"
http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,cross-sector,drive automatic car,"understanding spoken Hungarian
make sense of spoken Hungarian
understand spoken Hungarian
interpret spoken Hungarian
understand Hungarian speech
listen to Hungarian
comprehend spoken Hungarian"
http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,transversal,understand spoken Hungarian,"make event management
carry out event management
undertake event management
complete event management
oversee event management"
http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,cross-sector,carry out event management,"understand Welsh speech
make sense of spoken Welsh
understanding spoken Welsh
listen to Welsh
comprehend spoken Welsh
interpret spoken Welsh
understand spoken Welsh"
http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,transversal,understand spoken Welsh,"create solutions to problems
create solution to problems
conceive  solutions to problems
creating solutions to problems
devise solutions to problems
formulate solutions to problems
come up with solutions to problems
create solutions"
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,cross-sector,create solutions to problems,"review cultural trends
evaluate cultural trends
study cultural trends
examine cultural trends
analyze  cultural trends
analysing cultural trends
analyse cultural trend
analyse trends in culture"
http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,cross-sector,analyse cultural trends,"administer electrolytes to cathodes and anodes
use electrolyte solution to cathodes and anodes
implement electrolytes to cathodes and anodes
implement electrolyte solution to cathodes and anodes
use electrolytes to cathodes and anodes
operate electrolytes to cathodes and anodes
operate electrolyte solution to cathodes and anodes
apply electrolytes to cathodes and anodes
administer electrolyte solution to cathodes and anodes"
http://data.europa.eu/esco/skill/03cf7836-708c-4d43-94ed-3d8beb170655,cross-sector,apply electrolytes to cathodes and anodes,"steer vessel into docks
safely move ships into docks
guide vessels into docks
safely move vessels into docks
safely dock ships
guide ships into docks
control movement of ships into docks
manoeuvre vessels into docks
steer ships into docks
manoeuvre ships into docks
control movement of vessels into docks
safely dock vessels"
http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,cross-sector,guide ships into docks,"research into law breaking behaviour
investigation of law breaking behaviour
study of law breaking behaviour
investigation of criminal behaviour
study of criminal behaviour
research into criminal behaviour
criminology"
http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,cross-sector,criminology,"examine materials
check materials
test materials
assess materials
analyse materials
material test
evaluate materials
material testing
material tests"
http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,cross-sector,test materials,"take cargo out of vehicle
unload cargo
unpack cargo
unloading cargo"
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,cross-sector,unload cargo,"photographic surveying
photogrammetry"
http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,cross-sector,photogrammetry,"communicate house rules
explain rules and regulations
communicate rules of the house
list the game rules"
http://data.europa.eu/esco/skill/043c477b-71f6-43e9-8927-ca854fc55252,cross-sector,communicate gambling rules,"manipulate dental material
handle dental materials
form dental materials
manipulate material for teeth
work with dental materials
form dental material
shape dental materials"
http://data.europa.eu/esco/skill/043f3cba-7827-4a1f-9a87-7775ca01ec9d,cross-sector,manipulate dental material,"hygiene in a health care setting
hygiene procedures in hospitals or clinics
hygienic environment in healthcare
hygiene in healthcare setting
hospital hygiene"
http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,cross-sector,hygiene in a health care setting,"finish plastic products
finishing plastic products
finalise plastic products
conclude plastic products
finish a plastic product
complete plastic products
plastic product finishing"
http://data.europa.eu/esco/skill/04512804-4c83-4e1c-a963-02c58e918240,cross-sector,finish plastic products,"make recommendations to others
provide advisory services
give advice to others
advise colleagues
give constructive feedback
mentor others
counsel others
advise customers
mentor individuals
counselling
giving advice to others
guide
offer suggestions to others
give advice"
http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,transversal,advise others,"communicate verbally in Bosnian
interact verbally in Bosnian
be fluent in Bosnian
interacting verbally in Bosnian
verbally interact in Bosnian
speak Bosnian"
http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,transversal,interact verbally in Bosnian,"maintaining statutory books
maintain statutory books
keep statutory books updated
maintain statutory book
oversee statutory books
maintain books of statutes
keep up statutory books"
http://data.europa.eu/esco/skill/047fcf0a-2936-49fb-b4eb-97cdd8d09d0b,cross-sector,maintain statutory books,"fill up cargo vehicle
load cargo
loading cargo
pack cargo"
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,cross-sector,load cargo,"understand written Latvian
interpret written Latvian
understanding written Latvian
read Latvian
comprehend written Latvian
make sense of written Latvian
understand Latvian writing"
http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,transversal,understand written Latvian,"respond to changing healthcare situations
respond to changing health care situations
react to changing situations in health care
respond to changing situations in health care
cope with changing situations in health care
react to changing situations in healthcare
respond to changing situations in health-care
cope with changing situations in healthcare"
http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,cross-sector,respond to changing situations in health care,"correspond in written Finnish
write Finnish
writing Finnish
show competency in written Finnish"
http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,transversal,write Finnish,"make sense of spoken Punjabi
comprehend spoken Punjabi
listen to Panjabi
understanding spoken Punjabi
interpret spoken Punjabi
listen to Punjabi
understand Punjabi speech
understand spoken Punjabi
comprehend spoken Panjabi"
http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,transversal,understand spoken Punjabi,"advising on bankruptcy proceedings
advise on bankruptcy proceedings
advise on proceedings on bankruptcy
counsel on bankruptcy proceedings
give recommendations on bankruptcy proceedings
advise on bankruptcy proceeding
offer suggestions on bankruptcy proceedings"
http://data.europa.eu/esco/skill/04dcfb3b-d6ac-4044-a35f-a633d3816c28,cross-sector,advise on bankruptcy proceedings,"sell processed lumber  in a commercial environment
selling processed timber in a commercial environment
processed timber selling in a commercial environment
selling processed timber in a commercial setting
sell timber and timber-based products in a commercial environment
sell processed timber in a commercial setting"
http://data.europa.eu/esco/skill/04dd3f36-7056-4824-9eee-b0312d4a25b7,cross-sector,sell processed timber in a commercial environment,"document the product life cycle
prepare technical documentation
provide technical documentation"
http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,cross-sector,provide technical documentation,"elaborate policies for nutritional programs
design policies for nutritional programs
invent a strategy for nutritional programs
create policies for nutritional programs
create policies for food service
develop policies for nutritional measures
develop strategies for nutritional programs
invent policies for nutritional programs
develop policies for nutritional programs
elaborate nutriton programs"
http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,cross-sector,develop policies for nutritional programs,"support harmed socialcare users
support harmed social care user
support harmed social service users
support abused social service users
offer support to harmed social service users"
http://data.europa.eu/esco/skill/04e84553-2795-4098-b0ad-e7921628b32c,cross-sector,support harmed social service users,"designing electrical systems
design electrical systems
electrical system drawing
electrical systems designing
draw electrical systems
electrical systems drawing
electrical system designing
drawing electrical systems"
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,cross-sector,design electrical systems,"ensure contractors comply with regulatory standards through auditing
examine contractors to determine compliance with regulations
review contractors
scrutinise contractors
audit contractors
examine contractors
analyse contractors
assess contractors through auditing
conduct auditing activities on contractors
perform audits on contractors"
http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,cross-sector,audit contractors,"pass on trade skills
pass on a trade technique
pass on trade procedures
pass on trading techniques
pass on trade routines
pass on trade approaches
pass on trade techniques
pass on techniques of a trade"
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,cross-sector,pass on trade techniques,"continuous improvement policies
continuous improvement strategies
a continuous improvement philosophy
continuous improvement philosophies
continuous improvement processes
continuous improvement philosophy
continuous improvement systems"
http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,cross-sector,continuous improvement philosophies,"provide humanitarian aid
commit humanitarian aid
grant humanitarian aid
grant philanthropic aid
donate philanthropic aid
give philanthropic aid
donate humanitarian aid
give humanitarian aid
commit philanthropic aid"
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,cross-sector,provide humanitarian aid,"welcome feedback
accept constructive criticism
accept critics
accept feedback
tolerate critics
handle feedback
welcome criticism"
http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,cross-sector,accept criticism and guidance,"coordinate manufacturing production processes
coordinate activities of manufacturing production
organize manufacturing production activities
organise manufacturing production activities
coordinate manufacturing production activities
coordinate manufacturing processes
organize manufacturing processes
organise manufacturing processes"
http://data.europa.eu/esco/skill/05c00631-b864-4842-b47e-06710c197c7a,cross-sector,coordinate manufacturing production activities,"energy from the sun
sun energy
energy from sunlight
solar power
solar thermal energy
solar energy
STE
renewable solar"
http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,cross-sector,solar energy,"operate crosscut saw
activate crosscut saw
control crosscut saw
run crosscut saw
use crosscut saw
operating crosscut saw
operate crosscut saws
handle crosscut saw"
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,cross-sector,operate crosscut saw,"crimping
join metal
metal crimping
crimping of metal
crimping metal
joining of metal
metal joining"
http://data.europa.eu/esco/skill/05fd5f15-5bde-472d-9e1c-5aaa4f59c2a8,cross-sector,crimping,"review the dive with the dive team
assessing the dive with the dive team
dive assessing with the dive team
dive reviewing with the dive team
dive critiquing with the dive team
critiquing the dive with the dive team
critique the dive with the dive team
reviewing the dive with the dive team
assess the dive with the dive team"
http://data.europa.eu/esco/skill/060850d5-3dab-476a-beea-4a01408c1bad,cross-sector,critique the dive with the dive team,"performing an online data analysis
performing online data analysis
undertake online data analysis
perform an online data analysis
perform online data analysis
complete online data analysis
implement online data analysis"
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,cross-sector,perform online data analysis,"load animals in transport vehicle
load animals for transportation
load and unload animals for transportation
load animals safely
load animal
load animals for transportation in transport vehicle
load and unload animal for transportation
load animals"
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,cross-sector,load animals for transportation,"employ refrigerant transfer pumps
utilise refrigerator coolant systems
administer refrigerator coolant systems
exploit refrigerator coolant systems
handle refrigerant transfer pumps
administer refrigerant transfer pumps
exploit refrigerant transfer pumps
employ refrigerator coolant systems
utilise refrigerant transfer pumps"
http://data.europa.eu/esco/skill/0654d206-36a6-4d37-bb98-eb8bd33af3c5,cross-sector,handle refrigerant transfer pumps,"determine statistical patterns
identifying statistical patterns
identify statistical pattern
examine statistical patterns
assess statistical patterns
identify statistical patterns
evaluate statistical patterns"
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,cross-sector,identify statistical patterns,"workplace hygiene
workplace health
workplace cleanliness
workplace sanitation"
http://data.europa.eu/esco/skill/06bd47bc-d9f3-4517-8e34-c55c2e81f8c2,cross-sector,workplace sanitation,"manage cutting equipment
maintaining cutting equipment
control cutting equipment
maintain cutting equipment
preserve cutting equipment
sustain cutting equipment
maintain the cutting equipment"
http://data.europa.eu/esco/skill/06cf28f4-608d-4fb9-94c5-c0698d70ea71,cross-sector,maintain cutting equipment,"damp tumbling
saturated tumbling
liquid deburring and polishing processes
wet tumbling
moist deburring and polishing processes
saturated deburring and polishing processes
liquid tumbling
moist tumbling
damp deburring and polishing processes"
http://data.europa.eu/esco/skill/06d63a6c-3786-48ae-98f6-71acbe49958c,cross-sector,wet tumbling,"translating keywords into full texts
transcribe keywords into full texts
translate keywords into full texts
translate keywords into full text
translate full texts from keywords
convert keywords into full texts
translate keyword into full texts"
http://data.europa.eu/esco/skill/06e347f2-2504-4ee8-b7f7-8d9542f56207,cross-sector,translate keywords into full texts,"altering management
change management
alter management
revise management
rework management"
http://data.europa.eu/esco/skill/06fa9997-1720-45e8-a0cf-ee3060049f8b,cross-sector,alter management,"the study of lexicon
lexicon studies
theoretical lexicography"
http://data.europa.eu/esco/skill/07022138-d9c9-48cb-81da-6a18cba5c3be,cross-sector,theoretical lexicography,"diagnose children's problems
manage problems of children
diagnose mental disorders in children
manage a child's problems
manage problems of children's psychological development
manage children's problems
manage child's problem"
http://data.europa.eu/esco/skill/07090471-265a-48ec-b744-72b357e801ed,cross-sector,handle children's problems,"determine proficiency in packaging standards
demonstrating proficiency in packaging standards
demonstrate proficiency in a packaging standard
show proficiency in packaging standards
demonstrating proficiency in a packaging standard
demonstrate proficiency in packaging standards
display proficiency in packaging standards
establish proficiency in packaging standards"
http://data.europa.eu/esco/skill/07197605-141a-4c85-8995-00614de16c87,cross-sector,demonstrate proficiency in packaging standards,"energy market trends
trading of energy
energy trading market
trading energy
energy trading
market for energy
energy market"
http://data.europa.eu/esco/skill/071c7f1d-f659-4b96-a222-b21012297f3b,cross-sector,energy market,"manage a healthcare unit budget
manage a health-care unit budget
manage a healt-care unit-budget
collaborate in budget planning processes
collaborate in budget planning
prepare healthcare unit budget
manage the budget of a healthcare unit
work on healthcare unit budget
manage the budgets of healthcare units"
http://data.europa.eu/esco/skill/072a702d-70c3-4959-91c7-85e69d143894,cross-sector,manage a healthcare unit budget,"protection from natural elements
defence against natural elements
protection from the elements
shelter from natural elements"
http://data.europa.eu/esco/skill/073a58a6-08b5-4727-abd0-890ce615af77,cross-sector,protection from natural elements,"mergers and acquisitions
acquisitions and mergers
transferring ownership or combining businesses
transferring ownership or combining companies"
http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,cross-sector,mergers and acquisitions,"oversee state-funded programmes
administer state-funded programmes
administer government-funded programmes
maintain state-funded programmes
supervise  government-funded programmes
oversee  government-funded programmes
manage government-funded programs
supervise state-funded programmes
maintain  government-funded programmes"
http://data.europa.eu/esco/skill/0761f325-13e7-49f4-a41a-ec64ba4e7b9d,cross-sector,manage government-funded programmes,"collaborate with training professionals
work with training professionals
collaborate with education professionals
cooperate with education professionals
participate with training professionals
work with education professionals
participate with education professionals"
http://data.europa.eu/esco/skill/078098e1-01f7-4654-9ddd-016f4063b54d,cross-sector,cooperate with education professionals,"undertake warehouse materials
operating warehouse materials
run warehouse materials
conduct warehouse materials
operate warehouse material
operate warehouse materials
operation of warehouse materials
perform warehouse materials"
http://data.europa.eu/esco/skill/078861f5-b901-48a5-951e-a3ad0a4fa0bd,cross-sector,operate warehouse materials,"speak Provençal
communicate verbally in Occitan
interact verbally in Occitan
speak Occitan
verbally interact in Occitan
speak Languedoc
be fluent in Occitan
interacting verbally in Occitan"
http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,transversal,interact verbally in Occitan,"respond to visitor's complaints
responding to visitor complaints
reply to  visitor complaints
answer visitor complaints
respond to visitor complaints
respond to complaints from visitors"
http://data.europa.eu/esco/skill/079079fd-7918-491b-8302-34bec3e10d5d,cross-sector,respond to visitor complaints,"be fluent in Czech
communicate verbally in Czech
interact verbally in Czech
verbally interact in Czech
speak Czech
interacting verbally in Czech"
http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,transversal,interact verbally in Czech,"tempering of glass
heat treating glass
glass tempering
heat treatment of glass
temper glass
glass tempering technique
tempering glass
heat-treat glass"
http://data.europa.eu/esco/skill/07aa096a-bb4e-4380-b9f2-97fd70da2a82,cross-sector,glass tempering,"understanding written Ukrainian
read Ukrainian
understand Ukrainian writing
comprehend written Ukrainian
understand written Ukrainian
make sense of written Ukrainian
interpret written Ukrainian"
http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,transversal,understand written Ukrainian,"personality theory
theoretical concepts of personality
personality theories
theories of personality
theory of personality"
http://data.europa.eu/esco/skill/07d1dd29-4954-48f0-b807-6df53a7bceb2,cross-sector,theories of personality,"respect formats for publication
comply with publication formats
conform to publication formats
adhere to publication formats
respect publication format
respect publication formats
respecting publication formats"
http://data.europa.eu/esco/skill/07d3074b-f5cd-420a-bdf8-c8d643563ea5,cross-sector,respect publication formats,"wearing bunny suit
wear clean room suit
wear bunny suit
wearing clean room suit
cleanroom suit wearing
wear cleanroom suit
wear anti-contamination suit
bunny suit wearing
wearing anti-contamination suit
clean room suit wearing
anti-contamination suit wearing
wearing cleanroom suit"
http://data.europa.eu/esco/skill/07e1799a-82c2-4877-9b43-1499812c5619,cross-sector,wear cleanroom suit,apply system organizational  policies
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,cross-sector,apply system organisational policies,"propose technical solutions to business problems
propose ICT solutions to business problems"
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,cross-sector,propose ICT solutions to business problems,"assess water quality data
interpret scientific data to assess water quality
analysing scientific data to assess water quality
interpret water quality data
interpreting water quality data
analyse water quality data
assessing water quality data
analyse scientific data to assess water quality
analysing water quality data
scientific data interpreting to assess water quality
scientific data analysing to assess water quality"
http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,cross-sector,interpret scientific data to assess water quality,"abide strong smells
bear strong smells
endure strong smells
tolerate strong smells
accept strong smells
tolerate a strong smells"
http://data.europa.eu/esco/skill/08040bcc-a824-4441-bfd0-738b2de965cf,cross-sector,tolerate strong smells,"typographies
typography"
http://data.europa.eu/esco/skill/080a3bf6-c8e8-481e-b97e-8fbc964ebab7,cross-sector,typography,"machine fashioned stamp units
machine fashioned stamp segments
machine fashioned stamp components
mechanical forging press sections
mechanical forging press components
mechanical forging press segments
mechanical forging press units
mechanical forging press parts
machine fashioned stamp sections"
http://data.europa.eu/esco/skill/081513d0-7bad-4942-b8fb-1c24d9991fde,cross-sector,mechanical forging press parts,"local environmental policy
local environmental protection policy
international environmental protection policy
national environmental policy
national environmental protection policy
environmental policy
international environmental policy"
http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,cross-sector,environmental policy,"work together with colleagues
work in cooperation with colleagues
collaborate with colleagues
work in collaboration with co-workers
cooperate with colleagues
work in collaboration with colleague
work collaboratively
work in cooperation with co-workers
collaborate with co-workers
work together with co-workers
cooperate with co-workers
work cooperatively"
http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,cross-sector,cooperate with colleagues,"understanding written Spanish
read Spanish
understand written Spanish
understand Spanish writing
read Castilian
make sense of written Spanish
interpret written Spanish
comprehend written Spanish"
http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,transversal,understand written Spanish,"hold back offenders
hold back individuals
supervise offenders
control offenders
handcuff offenders
control individuals
handcuff individuals
supervise individuals
restrain individuals"
http://data.europa.eu/esco/skill/0893faa7-0666-466d-bf32-65005da1c933,cross-sector,restrain individuals,"encourage clients to make decisions in councelling sessions
encourage clients to make decisions during counselling sessions
help a client make decisions during a counceling session
help clients make a decision during counselling sessions
help clients take decisions during councelling sessions
help clients make decisions during counseling  sessions
help a client make decisions during a councelling session
support clients in decision-making during councelling sessoins
help clients make a decision during counseling sessions"
